COMP,REGIAO,UF,MUNICIPIO,MOTIVO_DESABILITACAO,CNES,NOME_ESTABELECIMENTO,RAZAO_SOCIAL,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NO_EMAIL,LEITOS_EXISTENTES,LEITOS_SUS,UTI_TOTAL_EXIST,UTI_TOTAL_SUS,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS
202401,NORDESTE,PB,IGARACY,,78050,UNIDADE MISTA DE SAUDE DOUTOR OLIVIO DE ASSIS BANDEIRA,PREFEITURA MUNICIPAL DE IGARACY,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,RUA PEDRO LOPES BRASILEIRO,S/N,,CENTRO,58775000,8334801122,,12,12,0,0,0,0,0,0,0,0,0,0,0,0
202401,NORDESTE,PB,JOAO PESSOA,,83615,HOSPITAL DE OLHOS DA PARAIBA,MEDEIROS E MEDEIROS CLINICA OFTALMOLOGICA LTDA,M,7,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,AVENIDA GOVERNADOR FLAVIO RIBEIRO COUTINHO,500,SALA 510,JARDIM OCEANIA,58037005,83 30211234,ascont_escritorio@hotmail.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202401,NORDESTE,PB,JOAO PESSOA,,147907,HOSPITAL PRONTOVIDA,MUNICIPIO DE JOAO PESSOA,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AVENIDA MONSENHOR WALFREDO LEAL,46,,TAMBIA,58020540,,,90,50,40,0,40,0,0,0,0,0,0,0,0,0
202401,NORDESTE,PB,CAMPINA GRANDE,,220337,HOSPITAL DE CLINICAS DE CAMPINA GRANDE,SECRETARIA DE ESTADO DA SAUDE SES,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,SIQUEIRA CAMPOS,605,,SAO JOSE,58400453,,,118,108,10,0,10,0,0,0,0,0,0,0,0,0
202401,NORDESTE,PB,CATINGUEIRA,,534242,UNIDADE MISTA DE CATINGUEIRA,MUNICIPIODE CATINGUEIRA,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,RUA INACIO FELIX,S/N,,CENTRO,58715000,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
202401,NORDESTE,PB,CAMPINA GRANDE,,745804,HELP FUNDACAO PEDRO AMERICO,FUNDACAO PEDRO AMERICO,M,5,HOSPITAL GERAL,3069,HOSPITAL_FILANTRÓPICO,HERONIDES DA COSTA CIRENE,250,ANEXO A,SERROTAO,58434505,83 88573311,,336,228,39,23,20,12,10,6,9,5,0,0,0,0
202401,NORDESTE,PB,PIANCO,,757306,HOSPITAL DE CAMPANHA COVID 19 DE PIANCO,MUNICIPIO DE PIANCO,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA ANTONIO LOPES DA SILVA,S/N,,CENTRO,58765000,,,25,25,0,0,0,0,0,0,0,0,0,0,0,0
202401,NORDESTE,PB,MARI,,814679,HOSPITAL MUNICIPAL DE MARI,PREFEITURA MUNICIPAL DE MARI,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA MANOEL AVELINO DE PAIVA,S/N,,CENTRO,58345000,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
202401,NORDESTE,PB,BARRA DE SANTA ROSA,,896764,CLINICA MUNICIPAL DE BARRA DE SANTA ROSA,MUNICIPIO DE BARRA DE SANTA ROSA,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,RUA NOSSA SENHORA DA CONCEICAO,S/N,PREDIO,CENTRO,58170000,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0
202401,NORDESTE,PB,BREJO DOS SANTOS,,960853,UNIDADE MISTA DE SAUDE DE BREJO DOS SANTOS,MUNICIPIO DE BREJO DOS SANTOS,M,15,UNIDADE MISTA,1244,HOSPITAL_PÚBLICO,RUA PROJETADA,S/N,,CENTRO,58880000,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0
